"genes"	"NF54.37.1"	"NF54.37.2"	"NF54.41.1"	"NF54.41.2"	"PB4.37.1"	"PB4.37.2"	"PB4.41.1"	"PB4.41.2"	"PB31.37.1"	"PB31.37.2"	"PB31.41.1"	"PB31.41.2"
"PF3D7.1331700"	119.52	102.03	93.53	132.47	77.92	79.51	120.44	121.25	58.22	53.58	94.41	101.62
"PF3D7.1331800"	2466.42	3113.07	3448.67	3786.71	738.16	1144.12	2159.69	3745.22	1259.83	686.44	2125.81	2364.52
"PF3D7.1332000"	99.08	130.07	64.7	105.27	144.52	139.96	88.33	110.9	186.48	151.96	147.4	102.71
"PF3D7.1332200"	33.73	62.46	7.91	12.18	26.28	56.02	10.58	26	126.04	118	33.04	12.85
"PF3D7.1332300"	68.65	54.77	85.97	54.47	71.67	55.5	88.98	70.69	100.71	116.29	88.43	61.81
"PF3D7.1332400"	18.09	20.87	27.41	19	18.02	20.92	41.96	24.31	16.63	34.76	22.35	29.55
"PF3D7.1332500"	285.52	241.66	320.1	278.77	200	263.94	582.96	475.12	298.3	316.65	268.03	299.89
"PF3D7.1332700"	218.33	202.62	211.59	212.05	227.67	222.82	344.77	276.67	100.14	187.29	231.36	293.36
"PF3D7.1332800"	308.24	290.66	317.94	318.75	253.01	310.7	353.95	326.22	140.83	164.77	345.18	338.77
"PF3D7.1332900"	147.06	120.74	203.75	166.07	128.27	103.2	244.64	246.86	72.47	132.4	140.72	221.19
"PF3D7.1333000"	212.57	190.32	467.95	411.26	237.88	201.11	445.61	414.06	191.27	181.23	394.45	483.69
"PF3D7.1333300"	155.08	100.95	159	141.09	120.16	82.3	261.9	211.78	138.33	115.08	180.07	201.47
"PF3D7.1333400"	205.3	130.39	221.48	180.2	211.14	151.87	528.02	319.9	82.51	230.57	170.75	243.67
"PF3D7.1333500"	18.31	9.77	43.72	40.75	25.17	16.34	33.75	16.9	14.71	15.44	15.48	23.37
"PF3D7.1333600"	41.97	46.3	65.06	63.8	33.25	40.64	69.82	80.88	14.14	31.86	35.86	71.45
"PF3D7.1333800"	140.4	127.71	189.98	169.91	109.27	112.81	165.14	174.83	170.35	137.52	149.46	169.95
"PF3D7.1334300"	41.68	39.27	238.2	252.54	51.45	43.39	141.12	106.41	49.09	46.55	124.46	181.38
"PF3D7.1334500"	14.6	17.1	222.12	165.68	12.58	10.49	64.44	26.81	28.65	17.93	46.48	87.03
"PF3D7.1334700"	519.38	454.97	124.02	133.83	663.17	543.63	428.89	436.71	150.73	541.65	273.08	288.45
"PF3D7.1334800"	66.05	74.94	32.35	30.37	43.28	48.3	51.53	57.04	203.59	65.6	49.87	48.04
"PF3D7.1335100"	421.07	669.82	61.82	79.66	485.37	706.85	113.62	326.76	2064.79	1846.83	432.42	87.45
"PF3D7.1335400"	28.68	70.68	6.45	11.94	39.67	100.03	13.38	34.85	108.34	251.3	34.73	9.57
"PF3D7.1336000"	37.02	24.7	27.68	29.9	34.66	26.87	46.48	39.03	25.53	29.43	34.03	31.65
"PF3D7.1336100"	28.95	54.12	39.96	41.32	56.89	83.05	23.18	31.37	28.79	48.77	39.64	22.22
"PF3D7.1336400"	47.84	33.58	51.36	36.93	72.57	65.86	62.24	26.29	69.62	44.69	45.24	32.99
"PF3D7.1336600"	109.97	140.65	278.58	363.27	120.28	125.46	117.66	104.33	248	118.03	213.23	135.25
"PF3D7.1336700"	186.6	314.67	148.18	269.87	47.46	125.4	81.18	291.77	86.65	42.6	178.69	172.66
"PF3D7.1336800"	193.16	170.62	304.7	316.17	168.68	160.38	321.7	282.43	78.53	141.19	210.11	266.52
"PF3D7.1336900"	63.29	49.17	69.26	79.23	43.79	38.16	111.11	106.42	25.57	55.09	74.18	102.45
"PF3D7.1337100"	50.41	24.86	111.18	112.82	48.85	37.01	73.22	55.45	33.72	31.2	88.01	106.41
"PF3D7.1337200"	11.41	11.86	33.36	35.76	10.99	10.32	19.62	17.17	14.67	10.46	17.42	24.91
"PF3D7.1337300"	58.02	49.71	90.85	82.08	39.82	42.13	95.59	79.3	32.87	45.36	62.7	73.51
"PF3D7.1337500"	56.97	60.21	43.12	44.49	69.99	70.66	61.4	80.81	36.27	59.06	41.54	58.12
"PF3D7.1337800"	76.64	89.56	9.11	12.79	88.19	108.68	18.96	41.07	110.95	322.21	67.22	18.51
"PF3D7.1338000"	29.07	32.83	30.5	30.08	22.31	38.49	22.46	27.32	52.64	16.38	36.29	26.13
"PF3D7.1338100"	243.35	285.35	310.81	279.18	164.66	185.03	259.65	309.51	398.36	181.51	220.09	234.26
"PF3D7.1338200"	2272.97	1730.92	3117.18	2842.29	1754.55	1519.17	4168.98	2682.67	898.95	2076.94	2312.63	2592.29
"PF3D7.1338300"	1530.24	1395.81	2104.15	1969.75	938.73	880.3	2190.69	2104.93	723.28	951.38	1286.66	1637.25
"PF3D7.1338400"	21.7	27.01	10.39	13.03	32.56	38.9	12.02	17.68	27.41	27.09	34.98	12.59
"PF3D7.1338600"	53.59	124.35	69.21	84.24	85.9	150.66	48.99	68.95	233.84	221.26	64.15	46.79
"PF3D7.1338700"	48.72	68.55	66.78	61.7	58.56	81.39	44.45	32.33	181.95	98.07	53.53	42.82
"PF3D7.1339300"	763.23	636.25	827.39	584.06	562.89	493.93	1045.43	922.02	344.81	758.66	761.98	949.34
"PF3D7.1339400"	114.34	125.9	54.82	63.02	113.86	158.87	56.74	70.52	188.82	125.97	127.67	55.9
"PF3D7.1339500"	32.53	19.52	57.18	39.4	45.49	25.5	75.97	54.58	30.67	52.39	34.65	45.56
"PF3D7.1339600"	15.33	15.86	21.76	21.82	12.16	11.06	23.05	24.74	25.52	15.25	28.26	14.71
"PF3D7.1339800"	12.61	0	22.21	41.8	39.96	0	32.37	10.72	14.2	0	0	0
"PF3D7.1340000"	45.74	34.77	31.91	39.56	17.64	15.98	47.91	28.63	11.23	18.65	28.18	34.09
"PF3D7.1340100"	64.84	45.56	69	57.42	51.17	52.15	71.61	50.3	36.22	41.22	55.46	70.69
"PF3D7.1340300"	124.97	110.47	129.41	128.63	104.67	107.78	186.45	175.98	39.9	86.61	104.35	154.98
"PF3D7.1340600"	101.72	101.99	303.8	206.19	111.34	95.62	290.43	199.79	75.16	100.97	167.12	237.3
"PF3D7.1340700"	53.52	91.36	25.17	28.84	48.99	58.06	17.75	47.83	89.28	27.86	59.12	27.9
"PF3D7.1340800"	71.07	117.14	27.93	30.53	102.77	93.12	34.03	51.01	149.51	38.49	99.24	28.24
"PF3D7.1340900"	232.68	178.27	153.76	126.79	127.07	124.34	157.77	240.1	102.75	132.86	152.86	138.19
"PF3D7.1341200"	2408.25	1935.22	3890.65	3366.69	1430.28	1409.5	4170.68	3342.24	1008.49	1473.09	2480.66	2969.84
"PF3D7.1341500"	24.79	26.53	8.25	5.08	34.19	36.07	14.64	15.38	79.1	62.7	31.96	11.62
"PF3D7.1341700"	27.15	32.54	9.1	8.76	72.51	47.46	8.67	4.53	13.85	15.69	39.84	10.13
"PF3D7.1341800"	46.96	66.39	10.33	10.16	65.09	103.02	30.29	31.46	136.38	131	51.27	13.85
"PF3D7.1341900"	261.89	274.59	240.28	302.58	220.46	305.92	218.34	264.84	241.42	179	318.16	206.38
"PF3D7.1342100"	50.48	49.89	40.81	52.9	36.55	36.57	27.45	31.17	57.87	42.31	34.83	37.73
"PF3D7.1342600"	529.49	1150.29	133.17	112.94	692.85	1323.7	199.78	491.96	1758.6	2388.19	685.91	136.25
"PF3D7.1342800"	127.28	120.33	813.71	629.27	93.4	105.59	701.51	426.82	127.36	120.44	442.37	557.21
"PF3D7.1343000"	3168.64	3325.11	4348.84	3413.83	2611.18	2127.85	2659.39	2979.51	5604.83	3437.97	2420.14	2682.89
"PF3D7.1343100"	52.07	53.72	16.15	12.56	72.1	72.24	19.2	26.29	159.4	117.1	34.72	18.21
"PF3D7.1343200"	50	47.69	70.6	64.89	64.51	42.03	122.65	90.16	67.68	78.24	76.77	109.88
"PF3D7.1343300"	90.63	95.84	138.25	131.8	139.38	139.37	113.09	91.81	201.27	128.73	120.68	111.79
"PF3D7.1343400"	26.65	23.01	23.65	30.12	32.97	28.1	25.65	25.74	27.14	25.29	21.76	29.14
"PF3D7.1343500"	34.7	61.35	57.39	59.98	61.45	57.42	36.98	27.11	98.96	47.95	54.57	49.07
"PF3D7.1343700"	260.2	269.04	108.7	90.55	253.9	288.18	151.59	201.6	124.1	214.33	178.97	165.25
"PF3D7.1344100"	38.73	35.96	27.43	31.61	49.45	47.96	40.47	50.77	53.87	88.09	45.35	44.36
"PF3D7.1344200"	217.65	180.72	154.79	149.81	194.26	151.62	326.81	316.1	230.37	246.76	159.05	227.11
"PF3D7.1344300"	48.3	46.65	12.29	14.74	50.49	66.9	23.37	33.18	117.13	128.73	45.86	24.48
"PF3D7.1344600"	44.16	62.14	11.68	11.69	88.3	107.29	29.46	23.32	87.82	54.94	61.23	27.13
"PF3D7.1344800"	192.31	164.48	501.08	470.89	105.71	118.71	624.05	468.78	133.85	122.94	322.72	453.91
"PF3D7.1344900"	79.18	54.75	61.48	66.01	56.6	56.36	93.86	92.99	25.5	56.9	53.17	74.47
"PF3D7.1345000"	21.7	47.96	9.12	9.79	44.96	76.59	26.72	17.03	27.5	16.64	29.38	18.68
"PF3D7.1345100"	281.43	260.61	309.91	290.46	195.19	222.05	396.9	329.36	172.17	284.91	280.64	250.58
"PF3D7.1345400"	19.83	30.45	31.3	45.85	27.29	33.44	27.44	25.17	50.82	46.09	24.89	38
"PF3D7.1345600"	288.82	347.35	63.73	50.43	342.5	455.28	103.79	156.51	701.81	395.72	289.33	63.14
"PF3D7.1345700"	133.7	145.45	325.78	290.71	144.33	159.45	271.92	256.94	198.19	144.77	203.59	241.16
"PF3D7.1345800"	46.72	42.96	72.23	52.02	36.89	35.98	66.42	65.51	28.81	31.03	46.33	62.2
"PF3D7.1345900"	113.3	134.55	153.26	90.7	162.38	171.27	76.7	98.43	237.71	119.02	170.27	107.4
"PF3D7.1346100"	378.05	352.67	499.93	449.73	221.91	319.1	539.44	527.63	461.79	231.44	449.56	474.1
"PF3D7.1346300"	2588.57	1990.16	2431.86	2192.65	1616.88	1455.48	2614.79	2494.89	947.51	1433.84	1845.8	2194.63
"PF3D7.1346400"	31.4	29.75	19.44	19.31	34.14	34.54	27	34.51	35.12	40.57	26.94	35.23
"PF3D7.1346700"	188.43	237.87	48.73	19.05	399.26	431.62	129.32	79.12	133.84	123.8	180.38	65.97
"PF3D7.1347200"	1005.23	727.67	2829.2	2483.88	520.57	560.41	2520.19	1453.27	421.37	716.38	1571.41	1972.24
"PF3D7.1347500"	4733.49	4652.21	5615.84	4717.41	2911.93	3477.11	4797.06	5281.21	1985.11	2698.4	3342.34	4030.07
"PF3D7.1347600"	35.79	47.12	11.53	8.24	55.01	47.5	19.89	16.39	28.48	28.12	45.12	10.12
"PF3D7.1347700"	278.32	287.24	181.16	159.9	311.57	379.36	272.88	265.25	220.25	415.95	233.01	197.54
"PF3D7.1348100"	46.83	51.63	15.12	9.61	40.99	56.25	26.1	16.09	83.11	37.29	38.42	11.04
"PF3D7.1348500"	31.78	36.8	25.58	27.18	35.98	31.67	18.25	28.7	77.78	52.92	37.71	17.98
"PF3D7.1348600"	22.18	28.65	10.34	8.71	28.37	39.11	9.79	16.68	98.25	65.33	26.14	10
"PF3D7.1348900"	128.8	98.93	179.61	119.92	310.47	158.87	318.41	123.83	107.65	123.02	221.39	222.4
"PF3D7.1349100"	84.29	91.63	31.02	25.8	115.6	102.92	46.89	36.95	163.28	99.9	91.9	47.55
"PF3D7.1349200"	190.2	157.11	174.8	168.51	165.05	147.89	198.99	205.58	88.71	160.62	158.08	200.01
"PF3D7.1349400"	86.83	70.18	78.95	79.91	46.55	29.53	89.73	79.42	14.63	33.12	35.29	71.74
"PF3D7.1349600"	64.83	67.29	79.6	64.76	99.17	77.19	64.72	60.71	143.77	105.22	68.64	98.08
"PF3D7.1350100"	385.85	357.74	641.53	536.01	245.47	303.78	540.92	609.93	246.86	201.82	470.28	511.68
"PF3D7.1350200"	451.36	329.43	567.62	403.44	605.4	344.55	824.2	445.22	393.77	581.59	510.96	571.62
"PF3D7.1350300"	54.14	49.87	36.57	60.45	51.12	49.48	75.88	77.44	26.69	50.27	34.09	53.96
"PF3D7.1350500"	51.77	55.33	38.42	44.01	49.03	56.58	61.34	54.71	71.95	59.56	48.84	45
"PF3D7.1350900"	30.2	24.71	11.03	9.55	42.03	50.03	26.47	23.21	14.32	21.72	28.11	31.47
"PF3D7.1351000"	70.93	74.99	60.21	64.23	75.13	85.93	96.58	102.38	50.62	96.42	64.33	107.21
"PF3D7.1351100"	297.92	292.37	341.71	357.85	247.82	246.67	324.61	334.85	159.76	212.44	283.37	278.39
"PF3D7.1351400"	2064.26	2297.57	2930.38	2945.89	860.32	1320.28	2459.17	2893.11	834.11	898.77	2077.51	2271.42
"PF3D7.1351600"	59.8	109.31	17.81	19.95	52.09	129.57	36.62	49.02	172.5	97.27	65.42	29.56
"PF3D7.1351700"	156.87	262.46	27.41	36.66	257.2	397.09	67.11	148.77	589.13	1084.19	200.3	50.22
"PF3D7.1351900"	120.41	115.8	138.66	137.64	138.13	142.71	277.26	198.88	127.92	159.23	131.2	126.24
"PF3D7.1352100"	33.7	25.76	43.56	45.93	34.85	30.7	76.86	42.96	58.68	79.72	44.47	55.74
"PF3D7.1352200"	157.83	143.15	163.92	140.19	174.2	148.7	312.3	218.98	91.9	259.77	171.87	208.82
"PF3D7.1352500"	428.67	495.93	393.32	377.96	253.01	354.34	293.97	483.75	1101.46	301.72	407.61	359.41
"PF3D7.1352700"	16.96	14.69	22.29	21.24	15.13	10.5	24.82	28.39	10.43	15.51	13.65	26.8
"PF3D7.1352800"	22.61	24.21	36.73	38.92	28.02	25.89	38.63	36.34	28.4	25.31	30.4	33.77
"PF3D7.1352900"	124.36	131.86	22.17	17.46	215.41	235.87	78.02	122.55	40.9	187.41	38.68	47.12
"PF3D7.1353000"	200.33	250.44	162.98	180.58	248.59	308.52	235.18	267.07	386.31	536.21	200.96	220.63
"PF3D7.1353200"	4128.18	4242.28	794.89	903.82	953.11	1315.52	1242.43	3616.79	465.7	825.28	993.03	867.09
"PF3D7.1353600"	90.79	86.74	63.75	79.64	117.83	110.24	178.03	95.52	167.1	181.11	103.79	85.25
"PF3D7.1353700"	79.3	74.22	173.83	234.32	68.5	52.71	237.7	164.72	53.5	76.38	189	281.61
"PF3D7.1353800"	259.1	234.62	336.55	371.06	204.82	198.95	311.6	224.42	308.87	181.99	301.84	285.76
"PF3D7.1353900"	513.48	470.46	651.29	585.71	345.19	454.04	590.69	455.6	600.36	382.85	576.64	596.7
"PF3D7.1354200"	23.81	24.14	17.16	20.08	31.49	27.84	26.75	23.83	50.32	55.59	24.59	27.69
"PF3D7.1354300"	219.26	217.2	288.52	368.78	192.2	219.89	426.03	393.96	79.46	248.24	192.48	315.18
"PF3D7.1354400"	265.94	419.84	268.77	337.01	88	204.06	199.31	315	312	136.85	282.35	327.57
"PF3D7.1354500"	202.32	127.97	389.02	424.36	104.16	94.89	407.68	331.81	103.98	140.83	318.7	455.33
"PF3D7.1354800"	33.56	27.45	10.89	9.07	47.48	40.12	22.19	19.71	28.96	26.76	24.36	19.86
"PF3D7.1355300"	21.64	20.95	19.56	26.34	23.13	27.19	36.03	21.7	12.03	22.28	18.84	20.91
"PF3D7.1355600"	28.81	24.7	18.44	13.61	51.5	48.68	32.22	21.68	18.02	20.91	40.7	35.61
"PF3D7.1355700"	120.15	119.4	94.06	107.76	130.57	137.74	135.26	120.16	102.31	167.34	115.57	128.73
"PF3D7.1355800"	222.17	319.17	306.26	213.43	43.73	186.47	191.54	302.36	118	76.56	183.39	164.59
"PF3D7.1355900"	124.22	110.01	146.77	114.14	167.09	170.62	111.36	126.62	78.84	102.02	139.25	106.22
"PF3D7.1356700"	52.01	34.65	71.58	50.15	68.39	54.67	76.62	56.33	54.34	79.38	62.23	58.55
"PF3D7.1356900"	114.84	147.59	127.1	129.64	40.22	55.08	56.85	60.55	104.91	43.53	39.78	64.29
"PF3D7.1357000"	758.63	770.21	945.98	1070.25	210.08	288.8	673.17	1401.08	274.09	144.46	641.09	888.43
"PF3D7.1357100"	1478.28	1360.83	2017.53	2131.46	463.22	530.62	1248.37	2223.28	574.02	292.93	1173.88	1466.1
"PF3D7.1357400"	20.11	23.23	28.08	40.97	26.47	25.18	27.16	17.16	30.95	39.05	24.58	27.17
"PF3D7.1357500"	37.99	35.71	53.03	40.08	31.01	40.04	34.3	37.21	77.99	51.46	39.98	41.59
"PF3D7.1357700"	63.69	54.25	58.33	70.51	60.5	49.44	101.56	86.49	17.22	59.78	52.27	74.08
"PF3D7.1357900"	229.74	120.24	520.2	541.02	87.82	57.35	471.23	365.12	76.34	71.66	490.88	581.91
"PF3D7.1358100"	163.49	204.43	238.2	268.47	146.28	187	275.49	315.39	101.42	186.49	162.63	232.52
"PF3D7.1358500"	54.75	34.06	96.34	86.12	50.4	33.94	121.3	73.73	18.54	49.48	69.03	87.96
"PF3D7.1358700"	144.98	113.92	70.98	50.67	104.49	94.18	97.97	76.62	129.26	119.47	97.3	74.34
"PF3D7.1358800"	2701.66	2211.93	3936.82	3398.73	1506.22	1478.16	4034.06	3427.34	1085.56	1291	2631.16	2931.4
"PF3D7.1358900"	208.18	219.36	273.37	226.09	112.34	132.96	250.63	285.28	105.96	95.93	193.93	199.66
"PF3D7.1359200"	172.71	136.38	170.33	138.06	273.98	203.71	197.49	123.36	164.99	116.95	216.05	167.88
"PF3D7.1359300"	43.36	45.37	52.27	54.36	46.27	40.8	75.61	66.81	26.58	40.45	42.85	61.25
"PF3D7.1359400"	586.62	505.09	512.55	433.79	375.11	358.47	436.09	543.03	283.22	266.51	478.15	535.01
"PF3D7.1359600"	43.62	60.46	142.06	164.64	50.28	57.98	66.75	51.86	108.49	90.45	74.73	96.11
"PF3D7.1360100"	215.39	107.66	195.17	177.9	140.16	132.61	193.85	154.95	122.04	97.28	165.17	202.25
"PF3D7.1360200"	128.43	108.4	138.45	149.31	94.82	88.16	194.46	135.69	111.26	67.1	146.17	124.77
"PF3D7.1360700"	42.79	41.5	44.82	40.21	47.51	48.83	43.14	43.3	49.03	50.22	45.62	51.62
"PF3D7.1360800"	341.9	295.67	463.1	389.21	318.63	263.09	565.6	482.69	258.76	360.97	328.86	456.47
"PF3D7.1360900"	174.93	277.96	247.44	193.78	207.43	282.42	117.68	172.97	421.74	127.1	248.9	179.78
"PF3D7.1361000"	26.6	20.99	25.16	19.64	24.18	16.98	34.37	32.03	12.08	22.08	29.74	29.99
"PF3D7.1361100"	254.43	254.05	88.26	87.03	204.55	238.33	161.43	193.66	232.12	221.26	171.66	145.66
"PF3D7.1361200"	44.28	50.58	50.3	50.09	49.32	54.63	64.56	75.42	50.61	58.96	42.97	54.51
"PF3D7.1361400"	47.76	50.62	5.26	5.12	74.04	51.52	22.55	29.22	101.4	205.36	28.07	17.7
"PF3D7.1361600"	50.62	47.44	56.41	27.82	131.8	61.99	21.42	38.01	66.68	86.37	66.2	35.94
"PF3D7.1361700"	136.06	183.77	72.69	87.01	179.02	265.44	61.2	89.33	345.04	176.52	161.73	54.56
"PF3D7.1361800"	180.71	297.72	32.4	34.04	212.6	340.57	57.07	125.89	791.97	751.65	230.43	49.87
"PF3D7.1361900"	317.32	289.93	834.49	803.51	307.03	351.73	286.23	174.44	824.68	354.59	380.75	391.04
"PF3D7.1362000"	128.4	191.19	54.93	51.41	146.06	198.22	97.97	62.77	204.79	94.42	126.36	43.98
"PF3D7.1362300"	29.55	22.16	52.06	44.83	48.65	46.17	39.63	49.43	52.39	54.4	42.74	54.63
"PF3D7.1362700"	136.37	150.36	54.41	56.07	218.92	274.54	79.84	140.43	126.55	107.62	164.08	103.16
"PF3D7.1364100"	36.67	38.59	16.41	14.92	41.74	44.99	16.2	18.21	129.45	87.7	30.26	13.72
"PF3D7.1364200"	24.54	26.58	18.59	14.7	27.13	33.48	27.68	32.96	25.78	44.85	21.67	22.74
"PF3D7.1364300"	44.48	33.71	44.53	47.97	33.84	36.69	46.27	55.24	25.33	34.67	40.97	54.97
"PF3D7.1364800"	421.66	482.56	549.42	558.38	249.92	429.07	504.79	660.29	201.43	182.6	525.08	548.03
"PF3D7.1364900"	26.07	16.93	23.73	26.43	33.16	19.29	39.51	24.35	16.57	31.7	21	43.24
"PF3D7.1365000"	66.96	60.81	63.7	79.82	104.66	81.26	165.84	80.9	71.63	102.4	79.66	89.62
"PF3D7.1365100"	95.36	88.5	91.75	162.49	37.8	69.29	65.47	153.52	43.01	24.46	121.75	72.76
"PF3D7.1365200"	233.46	0	427.02	316.28	153.19	42.47	318.31	269.99	185.67	155.82	429.55	466.05
"PF3D7.1365500"	55.18	49.85	127.28	96.81	90.59	67.78	124.33	79.4	70.06	67.67	108.79	118.76
"PF3D7.1365600"	20.35	33.66	11.08	8.18	31.41	42.58	9.88	15.68	61.79	60.72	25.9	11.15
"PF3D7.1365700"	90.06	89.23	54.24	45.53	63.53	63.51	68.85	76.36	127.38	90.45	79	77.66
"PF3D7.1365900"	3222.8	3197.38	4646.43	3854.12	1933.08	2448.84	3969.59	4377.36	2911.04	2311.99	3761.75	3850.78
"PF3D7.1366000"	167.18	127.87	172.91	178.66	142.14	100.37	270.61	145.39	103.38	171.68	129.23	135.25
"PF3D7.1366300"	31.76	32.16	42.78	42.33	34.13	32.74	52.03	59.7	18.79	40.27	30.63	55.23
"PF3D7.1366400"	30.3	27.88	64.46	59.62	22.57	25.48	47	41.1	30.28	25.74	25.76	51.23
"PF3D7.1366600"	197.3	198.15	181.53	205.11	154.11	185.87	184.99	215.57	238.84	218.24	173.91	200.53
"PF3D7.1366800"	119.43	119.89	89.68	98.2	106.61	121.27	96.54	93.58	167.54	123.11	145.45	130.45
"PF3D7.1366900"	363.5	408.58	439.33	373.53	354.95	316.35	495.45	504	359.87	405.11	315.8	449.35
"PF3D7.1367000"	379.11	318.81	481.54	448.16	213.22	258.38	255.06	352.48	442.67	165.08	417.35	453.02
"PF3D7.1367100"	144.85	130.46	188.1	178.49	108.53	113.12	176.52	217.75	91.39	101.56	144.14	175.56
"PF3D7.1367400"	32.73	31.91	41.54	35.32	39.07	32.7	49.55	44.48	14.89	36.06	37.63	45.64
"PF3D7.1367500"	63.92	65.08	102.54	68.74	55.75	71.81	66.19	57.98	146.45	89.64	65.02	60.02
"PF3D7.1367600"	175.61	142.71	206.34	199.29	141.52	189.78	295.82	206.19	75.8	121.95	206.36	238.55
"PF3D7.1367700"	152.47	141.82	171.87	171.99	113.57	98.48	202	203.7	62.85	118.01	121	214.12
"PF3D7.1368100"	91.1	96.02	112.88	117.49	62.12	89.88	104.01	99.93	138.15	67.01	94.02	86.37
"PF3D7.1368200"	146.49	139.84	173.22	194.25	104.06	84.37	192.07	220.97	124.59	111.03	168.8	225.52
"PF3D7.1368400"	113.03	111.98	110.44	117.58	127.64	107.17	209.99	135.86	188.21	179.47	129.78	132.97
"PF3D7.1368600"	143.11	112.39	275.8	321.29	149.34	110.11	344.32	147.18	83.15	156.91	189.29	279.29
"PF3D7.1368900"	204.84	177.33	224.69	190.79	254.4	231.51	302	234.58	221.21	202.98	227.84	237.54
"PF3D7.1369500"	47.27	38.22	59.36	51.41	46.15	30.83	79.36	65.54	16.67	43.48	41.4	72.41
"PF3D7.1369700"	54.94	46.7	65.83	67.24	74.7	42.22	135.81	105.06	35.98	52.28	74.58	73.97
"PF3D7.1370300"	2786.55	1779.94	434.93	431.29	840.22	711.92	752.43	1919.05	179.2	684.43	903.78	940.41
"PF3D7.1371800"	11.72	25.99	131.3	131.27	6.35	21.38	43.27	20.19	29.86	43.47	41.78	72.56
"PF3D7.1371900"	18.76	10.89	144.15	95.65	11	8.9	56.9	24.49	22.28	42.9	48.62	74.34
"PF3D7.1372100"	61.69	46.08	71.47	63.47	75.77	59.83	80.61	62.53	99.59	77.39	139.5	222.91
"PF3D7.1372200"	1079.12	1267.38	336.99	485.66	246.59	206.32	892.93	2447.7	94.18	324.59	562.12	893.18
"PF3D7.1372300"	779.26	883.3	283.55	247.22	756.62	733.87	738.77	961.52	169.73	627.06	470.76	491.29
"PF3D7.1372500"	3.22	4.58	69.97	52.91	1.15	3.72	17.9	14.77	1.42	1.96	30.66	31.98
"PF3D7.1400100"	98.61	123.58	44.97	47.38	39.34	46.19	22.55	39.48	35.06	18.12	25.15	16.35
"PF3D7.1400200"	12.1	17.78	58.92	71.27	3.68	7.41	62.51	42.83	0.93	0	3.25	2.43
"PF3D7.1401000"	31.49	20.18	53.7	51.8	2.25	3.64	14.53	16.13	0	0	0	0
"PF3D7.1401100"	1876.15	1415.79	290.81	274.84	1839.14	1465.76	782.88	1365.5	372.25	1079.14	557.68	507.56
"PF3D7.1401200"	108.95	92.9	858.74	772.13	40.95	48.28	500.52	237.31	172.01	131.99	450.29	701.1
"PF3D7.1401400"	5912.46	7063.4	1611.25	1351.12	3103.82	4409.28	3130.81	6563.83	1721.06	3306.44	3098.4	2371.61
"PF3D7.1401500"	36.74	23.57	24.18	18.76	25.63	26.83	52.79	30.89	8.84	30.62	30.79	67.89
"PF3D7.1401600"	491.42	456.89	152.45	150.52	448.99	352.23	386.84	494.54	564.63	619.12	330.78	239.92
"PF3D7.1401800"	124.09	147.14	99.9	100.24	134.19	161.84	92.6	82.29	366.57	185.41	119.91	70.26
"PF3D7.1401900"	20.74	28.24	8.89	8.67	57.12	41.51	16.16	19.71	63.53	71.51	30.48	8.1
"PF3D7.1402300"	59.01	57.43	98.42	61.03	54.7	44.17	95.51	71.7	83.71	80.39	57.7	85.02
"PF3D7.1402400"	20.44	15.64	26.85	27.48	27.41	24.5	47.5	34.79	21	32.14	23.13	23.03
"PF3D7.1403200"	33.61	41.88	9.3	2.96	65.62	67.97	20.58	23.14	20.71	24.59	42.47	24.5
"PF3D7.1403600"	170.65	148.56	82.78	43.63	259.25	212.06	121.69	93.57	333.84	245.17	159.81	151.27
"PF3D7.1403700"	50.72	49.29	12.28	21.13	68.37	43.67	16.43	27.02	27.42	21.79	40.76	13.58
"PF3D7.1403900"	124.31	94.38	249.54	209.06	129.13	101.54	293.07	211.74	86.38	101.47	246.13	285.6
"PF3D7.1404100"	442.14	388.69	588.72	700.98	193.75	313.79	677.99	833.77	243.99	187.55	559.32	717.11
"PF3D7.1404500"	58.9	63.8	64.48	77.07	67.1	59.08	113.77	84.31	39.98	73.55	69.4	78.26
"PF3D7.1404900"	543.07	506.79	418.26	365.13	736.98	693.07	613.31	634.05	543.02	1126.53	647.68	486.04
"PF3D7.1405000"	15.58	20.66	21.5	19.71	18.44	19.55	19.62	17.17	23.22	20.6	21.87	20.88
"PF3D7.1405800"	223.77	228.25	274.17	307.69	216.99	255.03	466.59	401.59	82.15	267.82	225.13	354.06
"PF3D7.1405900"	43.58	70.09	64.06	83.14	49.88	61.06	77.24	98.46	23.71	51.59	43.91	69.73
"PF3D7.1406000"	208.68	156.35	322.25	295.6	184.64	141.65	400.83	275.15	175.71	143.49	294.48	351.65
"PF3D7.1406200"	109.99	105.76	101.73	139.72	82.11	107.14	124.67	144.36	56.31	104.3	70.94	114.79
"PF3D7.1406300"	32.3	37.78	44.49	54.06	19.41	25.04	16.84	37.03	43.49	25.26	27.9	34.9
"PF3D7.1406700"	125.39	143.43	120.61	94.86	216.93	225.04	105.08	103.97	260.87	132.81	182.16	105.38
"PF3D7.1406800"	374.85	739.83	114.94	93.92	300.14	553.37	127.24	294.08	1556.64	456.57	403.64	88.29
"PF3D7.1407100"	706.55	655.48	922.53	762.61	405.98	480.71	972.27	925.29	281.79	369.3	734.19	820.05
